title,last_edit_date,last_editor
Maison de Walsee,2024-09-22T19:54:49Z,B-noa
Lycée Amiral-de-Grasse,2024-07-14T17:34:55Z,Pautard
Cupriavidus necator,2024-02-28T08:50:15Z,Lewisiscrazy
Frassinello Monferrato,2025-01-08T05:46:20Z,OrlodrimBot
William Butts,2024-05-21T03:11:11Z,CommonsDelinker
Przewoźniki,2022-03-29T05:14:39Z,NaggoBot
Zerboko,2021-09-26T22:19:17Z,Verdy p
Armoiries de la République centrafricaine,2024-09-01T01:06:49Z,CrabeXBug
Reading (Vermont),2020-09-08T14:22:55Z,Thierry Caro
Gare d'Unionville (GO Transit),2023-07-11T05:09:05Z,WikiCleanerBot
Cockerill Mk. 8,2024-03-30T01:44:04Z,DickensBot
Floxuridine,2024-11-20T19:27:01Z,Jilucorg
SHAPE,2017-12-08T08:17:44Z,Wikig
Anne de Médicis,2024-04-19T15:59:23Z,Parisii1976
Tab Smith,2024-11-13T14:24:14Z,Python72
(31637) Bhimaraju,2023-04-19T09:39:22Z,Pld
Frank Davis,2024-09-11T08:25:57Z,Pierregil83
Maclou de La Haye,2024-04-23T10:09:26Z,Huster
Grzegorzewice (Grodzisk Mazowiecki),2022-03-29T20:51:26Z,NaggoBot
Président de la Géorgie,2025-01-11T17:29:29Z,Baidax
Marcel Lefebvre (homonymie),2022-11-29T12:04:25Z,45.156.230.42
Élections municipales vénézuéliennes de 2021,2022-12-02T22:15:46Z,Gnurok
Directeur des services pénitentiaires,2024-05-11T13:50:03Z,Amiral Bouclettes
Mars 1898,2025-01-16T16:49:27Z,Froideval67
Bronisławów (Żyrardów),2022-03-28T21:32:18Z,NaggoBot
Éric Dervieu,2025-01-11T20:26:03Z,2A0D:E487:111F:E95F:E013:6002:8946:B724
Vernon Hills (Illinois),2024-08-24T18:59:17Z,Mr Tortue
Sonny Hertzberg,2021-02-04T05:57:53Z,Jmax
Saison 2013-2014 des Bulls de Chicago,2021-10-03T19:36:09Z,Chaoborus
Séminaire des missions étrangères,2017-05-05T13:44:09Z,Passoa15
Queen's Own Oxfordshire Hussars,2024-05-31T19:34:05Z,Martin-78
Lerin Duarte,2024-06-04T16:28:01Z,Petro
Traité d'athéologie,2023-04-20T02:22:33Z,Trovixor
Aleksandr Zaïtsev (patinage artistique),2023-03-31T18:14:32Z,WikiCleanerBot
Équipe de Lituanie de football,2024-11-21T12:38:17Z,37.170.230.12
Teudis,2024-12-09T09:29:19Z,NicolasMachiavel
Mauro Staccioli,2022-10-04T14:18:41Z,FabioRomanoni
Missing You (série télévisée),2024-12-18T11:24:45Z,FR
Élections provinciales néerlandaises de 2015,2023-06-13T17:24:57Z,2A02:A420:3A:E996:F45D:4E71:2F6A:EA89
Administration du programme d'acquisition de la défense,2024-03-30T15:42:16Z,Siciliathisma
Benthochromis,2024-01-28T19:31:41Z,ZiziBot
Master Rallye,2020-12-06T15:33:17Z,Bot de pluie
Andréa Barbot,2024-02-11T03:26:43Z,Mi Ga
FK Kyzyljar Petropavl,2025-01-19T14:30:20Z,Diloy35
24 Heures de Spa 1936,2019-11-09T07:55:31Z,Vlaam
Frédéric Jalton,2025-01-26T23:18:12Z,Charpek
Le Canard (journal montréalais),2021-11-15T18:35:07Z,AnneMarieB
Devers (Texas),2024-08-28T23:52:31Z,Mr Tortue
(20500) Avner,2022-09-08T17:18:32Z,Pld
Novembre 2023,2024-04-19T23:33:04Z,Fourmidable
INS Shishumar,2024-02-15T09:14:50Z,L'amateur d'aéroplanes
Keith Bullen,2022-07-16T15:26:52Z,Bob08
L'Empire,2024-08-07T19:34:44Z,Actorstudio
Deuxième arrondissement électoral de l'Aisne,2017-07-11T21:18:41Z,OD02fr
Dryopsophus dayi,2023-08-21T12:06:17Z,Moha.Shamji
Éric Macé,2024-04-21T21:07:27Z,2A02:8440:D114:25D9:A194:CCDC:8F6A:7354
Chamborigaud,2025-01-26T15:42:46Z,Vlaam
Laurence Powell,2024-01-10T14:15:02Z,Speculos
Scaeva selenitica,2023-07-08T09:33:33Z,Jean.claude
Mostówka (Wołomin),2022-03-30T02:31:02Z,NaggoBot
Lori Lieberman,2024-11-20T23:23:47Z,Hachdog
Studio Dovjenko,2024-07-03T11:54:22Z,L'engoulevent
Château d'Akova,2024-08-24T16:08:23Z,Mr Tortue
Gouvernement Fritch 2015,2024-12-05T23:48:41Z,Berdea
Leonardo Capotosti,2024-09-12T11:50:10Z,Eskivor
Kenny Rogers (baseball),2021-02-19T23:15:10Z,Mi Ga
Narford,2023-07-02T10:34:38Z,Fabsss
Château Le Fy,2023-10-29T10:06:26Z,Escargot mécanique
Championnat du monde d'endurance moto 2016,2024-05-01T12:18:16Z,Thedude52
Zsófia Takács,2020-08-20T12:49:53Z,Cetorhinus
La Pépinière (mini-série),2024-01-03T20:28:46Z,InMontreal
Liste des planètes mineures non numérotées découvertes en 2020,2023-10-12T20:19:47Z,Io Herodotus
Méasnes,2024-07-05T09:22:31Z,Roland45-Bot
Championnat d'Équateur de football 1960,2021-06-17T09:12:30Z,Metroitendo
Les Malheurs d’un amant heureux,2023-07-31T15:58:42Z,2A01:E34:ECAC:A1A0:51C0:A59F:F78F:5BB8
Cour des Couples,2020-12-29T20:56:00Z,Cuny Guillaume
Coupe de Suisse de football 2021-2022,2025-01-02T19:36:36Z,Ruyblas13
Toshimaen,2023-06-23T23:14:50Z,2A02:1811:3C2F:5A00:7832:21B2:CA5C:2B62
Saint-Paul (Antigua-et-Barbuda),2020-12-20T21:37:41Z,Polmars
Yolande de Bretagne,2024-12-27T05:10:42Z,Mateus2019
Bernard Freyberg,2024-12-30T19:08:06Z,176.132.156.99
Nuraghe Paddaggiu,2017-08-01T06:03:33Z,Adri08
Cathédrale Saint-François-Xavier d'Hyderabad,2023-01-19T14:29:24Z,185.135.126.16
Pierre Guérin des Marchais,2024-09-29T04:01:22Z,WikiCleanerBot
Bundesstraße 274,2022-07-02T06:38:03Z,Pelanch3
Odon de Miossens,2024-11-04T19:46:50Z,Parisii1976
Le Garage,2024-12-27T00:53:47Z,L'engoulevent
Al-Raï al-aam,2024-02-28T16:41:22Z,Jilucorg
Kipa,2015-01-10T08:18:41Z,Pippobuono
Francisca Sandoval,2024-09-01T14:58:18Z,Pautard
Louis Levasseur,2023-12-28T15:43:57Z,Mathious Ier
Avenue de Verdun,2023-06-08T08:06:06Z,Vargenau
Tournoi de tennis de Stuttgart (WTA 2005),2023-11-20T04:47:36Z,SyntaxTerrorBot
Nkolzoa II,2023-11-27T08:04:40Z,Escargot bleu
Sylvie Deshors,2023-12-02T12:11:36Z,Croquemort Nestor
Championnats de France d'athlétisme 1932,2021-11-22T22:53:05Z,Rashinseita
Villa de Longchamp,2024-09-10T18:08:34Z,Herr Satz
Saison 6 de Power,2024-12-11T09:39:09Z,Ruyblas13
Christian Charret,2024-11-26T04:02:43Z,WikiCleanerBot
Médaille de la Somalie,2022-09-09T21:09:29Z,CommonsDelinker
Šume (Ivanjica),2021-07-05T15:58:49Z,Polmars
NCSM Québec,2024-11-28T02:18:41Z,2607:FA49:9143:C600:AD22:A7CB:13FB:19F8
Agroeca debilis,2023-09-17T03:21:38Z,LD AWBot
Tableau de dévotion,2024-08-03T12:01:18Z,Ismoon
Luo Ping,2024-09-22T09:59:07Z,Cjldx
Higor Alves,2020-01-21T11:06:24Z,Bot de pluie
Åsa Grennvall,2022-05-16T17:57:10Z,FR
Registre des Libraires,2025-01-07T08:27:19Z,Bob08
TA-Swiss,2023-12-29T15:26:05Z,Plume HIEN
Château de Monthey,2024-02-18T14:01:41Z,Espandero
Emma La Grua,2024-06-20T11:47:42Z,Adri08
Canon de marine EOC de 12 pouces/45 calibres,2024-09-14T20:37:47Z,Quidampacifique
Nazaerbieke Bieken,2023-03-31T10:44:03Z,Bordurie
Pilule mercurielle,2023-07-08T06:45:42Z,Lesuperfétatoire
Khalifa Laâbd,2024-01-31T19:44:34Z,Mathious Ier
MSMA,2024-08-14T12:52:20Z,Vlaam
2006 par pays en Asie,2024-02-16T21:59:06Z,Eskivor
Charbeaux,2025-01-07T22:05:04Z,Chabe01
(20040) Tatsuyamatsuyama,2023-11-09T09:56:20Z,Pld
Déférasirox,2020-11-12T11:10:45Z,Dimdle
Gouvernement Revilla II,2021-05-26T05:08:54Z,Panam2014
Joseph Court,2024-04-19T14:38:44Z,Idylh
Paramount Home Entertainment,2025-01-06T13:34:06Z,2A01:E0A:A7F:2680:B950:18A1:35F5:B12E
Nina Andreïeva,2024-09-19T16:39:59Z,Wyslijp16
Menhir de Bréau,2022-01-03T13:48:53Z,Harrieta171
Grecquage,2021-05-04T14:40:11Z,Suzelfe
Syrie (homonymie),2023-05-16T18:47:30Z,OrlodrimBot
Nicolas-Pierre Gilbert,2023-12-27T09:39:33Z,Croquemort Nestor
Kilari (manga),2024-08-30T17:44:06Z,Go-goldorak
Davide Xausa,2021-07-21T09:11:26Z,Efilguht
Journée mondiale de la société de l'information,2024-05-17T14:01:12Z,LilyKitty
Leptodactylodon perreti,2024-08-29T18:34:11Z,Fredojoda
Stade Maurice-Trélut,2024-12-09T14:03:43Z,Ginkgobiloquad
São Joaninho (Castro Daire),2020-12-17T19:10:18Z,NeoBot
Rubén Pulido,2020-08-06T09:57:11Z,Booboo85
Landskrona,2024-12-01T23:16:54Z,Jack Demol
Église Saint-Martin de Jouy-en-Josas,2024-07-25T20:37:45Z,Bahusate
Jean-Pierre Lévy (juriste),2024-10-30T14:34:59Z,Cote d'Azur
Future Nostalgia,2020-09-20T16:56:24Z,OrlodrimBot
Louis King (basket-ball),2025-01-03T23:00:42Z,Airbovu
Thal Abergel,2024-03-14T21:03:04Z,Couleys
Hiba Abouk,2024-09-03T16:10:36Z,Ariel Provost
RedBird Capital Partners,2024-07-03T19:21:29Z,Pautard
Pont de Wetherby,2022-09-09T07:23:24Z,80.215.110.181
Gu Junjie,2022-03-10T14:19:01Z,Courvey
Îlot de Nossa da Conceição,2024-09-20T10:37:20Z,Simans9093
Tête des Immerlins,2024-09-30T13:15:50Z,Gemini1980
Romeo Orsi,2024-12-07T11:58:34Z,Pautard
1848 en Lorraine,2024-12-04T12:14:29Z,William Jexpire
Classe Lion (croiseur de bataille),2024-04-08T12:28:38Z,CptKeyes
Londonderry Township,2020-03-08T16:17:54Z,Mywiz
Grammaire cognitive,2023-08-24T19:28:16Z,Vlaam
Sous influence,2018-04-14T18:08:59Z,HerculeBot
Regina Safirsztajn,2024-07-07T19:33:09Z,Framabot
Georges Baraton,2023-02-09T20:57:54Z,Thomas.R
Clocher-porche de Mimizan,2024-06-14T19:34:09Z,Mwarf
Robert Zoellick,2024-12-13T11:55:54Z,Authueil
Théorème d'uniformisation,2024-12-04T18:17:14Z,Libertinus Mercator
Richie Ginther,2025-01-27T13:24:32Z,TurboKiller
Ajnad al-Kavkaz,2024-02-28T16:28:57Z,Jilucorg
Gestation,2024-01-01T13:30:55Z,WikipSQ
Solenopsis blanda,2024-06-13T11:02:03Z,Runi Gerardsen
Environnement en Colombie,2024-08-19T17:00:35Z,Mélanie Huguet
Malina Vongsavady,2024-01-10T13:12:50Z,Fencer1234
Tomaszów Mazowiecki,2024-07-06T19:15:05Z,IlannHydra72
Laura Gimmler,2024-03-02T10:25:02Z,NikoSerbe
